id,year,parl_code,name,party_code,votes
1283,2013,P137,HAJI MOHD ALI BIN HAJI MOHD RUSTAM,UMNO,40720
1284,2013,P138,YEE KOK WAH,MCA,28775
1285,2013,P138,SIM TONG HIM,DAP,49521
1286,2013,P139,RAHMAT BIN YUSOF,PKR,21973
1287,2013,P139,AHMAD BIN HAMZAH,UMNO,33736
1288,2013,P140,SUBRAMANIAM A/L K.V SATHASIVAM,MIC,20037
1289,2013,P140,DATO CHUA JUI MENG,PKR,18820
1290,2013,P141,JULAILEY BIN JEMADI,PKR,16927
1291,2013,P141,ANUAR BIN ABD. MANAP,UMNO,19934
1292,2013,P142,RAMAKRISHNAN A/L SUPPIAH,DAP,15468
